,scoring,market,purchasing_date,review_title,review_content
7,80점,롯데하이마트,2024.10.11.,"
배송 빠르구요 카메라 부분 도색
",배송 빠르구요 카메라 부분 도색이좀 덜됫는데 그냥 쓰려구요
8,100점,SSG.COM,2024.09.24.,"
최고  최고  아이폰  16
",최고  최고  아이폰  16
9,100점,신세계몰,2024.09.24.,"
최고  최고  아이폰  16
",최고  최고  아이폰  16
0,100점,11번가,2024.11.06.,"
최고예요
",빠른 배송 감사합니다. 상자가 깨끗하지 않아서 아쉬워요.
1,100점,11번가,2025.01.02.,"
최고예요
",아이 성년 선물로 사줬는데 화질은 그닥 변화가 없는거 같다네요256으로 샀습니다
2,100점,롯데하이마트,2024.09.21.,"
아이폰13 미니에서 넘어왔는데 딱
",아이폰13 미니에서 넘어왔는데 딱 드는 느낌은 배터리 정말 오래간다... 이게 제일 큽니다
3,100점,이마트인터넷쇼핑몰,2024.09.21.,"
이마트 에이스토어에서 픽업했는데 응대 빠르고, 물품 하
","이마트 에이스토어에서 픽업했는데
응대 빠르고, 물품 하자 없고 좋네요. 만족합니당."
4,100점,11번가,2024.10.16.,"
최고예요
",이전보다 부드럽고선명해서 더 좋습니다배송도 빨리와서 잘 사용하고 있습니다감사합니다
5,100점,11번가,2024.11.04.,"
최고예요
",중딩 딸 아이 생일 선물로 준비했네요화이트라 깨끗하고 이뿌네요
6,100점,11번가,2024.11.14.,"
최고예요
",성능도 좋고 마음에 들어요
7,100점,11번가,2024.11.21.,"
최고예요
",빠르게 받았습니다보상 판매 기간이 짧아서 보상판매를 할 수 없는 점이 아쉽네요
8,100점,SSG.COM,2024.09.21.,"
이마트 에이스토어에서 픽업했는데 응대 빠르고, 물품 하
","이마트 에이스토어에서 픽업했는데
응대 빠르고, 물품 하자 없고 좋네요. 만족합니당."
9,100점,롯데하이마트,2024.09.22.,"
아이폰13미니 사용하다가 16으로
",아이폰13미니 사용하다가 16으로 넘어왔는데 무게도 크게 차이 안나고 좋습니다.
0,100점,11번가,2024.11.07.,"
최고예요
",성능진짜좋아요 굳굳
1,60점,11번가,2024.11.02.,"
보통이에요
",10월말에주문했는데 11절행사할때랑 가격이달라서 속상하네요.. 이런거 보완해주는건없나요
2,100점,롯데하이마트,2024.09.22.,"
진짜 무광이라 너무 예쁘고 배송
",진짜 무광이라 너무 예쁘고 배송도 9월20일에 딱 와서 기분좋게 사용중입니다 ㅠ 블랙은 간지.. 최고…
3,100점,11번가,2024.12.01.,"
최고예요
",깔끔하고 좋아요 근데 버벅거리는 현상이 초반에 있었어요 쓰다보니까 괜찮아졌어요
4,100점,11번가,2024.12.05.,"
최고예요
",애플케어 서비스까지 신청하여 저렴하고 간편하게 구입했습니다
5,100점,롯데하이마트,2024.09.24.,"
상품은  말할것이 너무 좋고 2차
",상품은  말할것이 너무 좋고 2차 예약인데 생각보다 빠른 배송에 너무 만족합니다.
6,100점,SSG.COM,2024.09.23.,"
고민하다가 샀는데 색상도 너무 예쁘고 사진도 잘나오고 
",고민하다가 샀는데 색상도 너무 예쁘고 사진도 잘나오고 좋네요.
7,100점,롯데하이마트,2024.10.10.,"
아이폰 8에서 넘어왔더니 완전 다
",아이폰 8에서 넘어왔더니 완전 다른 핸드폰 쓰는 느낌입니다. 좋습니다!
8,100점,11번가,2024.10.11.,"
최고예요
",15일 이후 발송이라 했는데 빨리 받았어요..포장도 튼튼하고 좋았습니다
9,20점,11번가,2024.10.25.,"
최악이에요
",와서 보니 외관상 얼룩 까짐이 있어 아쉬웠고 그 후 처리 과정이 별로임
0,100점,롯데하이마트,2024.09.21.,"
배송 빠르고 아쥬아쥬 만족입니다
",배송 빠르고 아쥬아쥬 만족입니다~~~!!!!
1,100점,11번가,2024.09.26.,"
최고예요
",11번가는 미쳤다… 3차예약인데 9/26에 받았습니다기대도 안했는데 9월에 받아서 넘 기쁘네요빠른 배송 감사합니다 양품으로 잘받았어요
2,100점,롯데하이마트,2024.10.10.,"
초록색 좀 튀거나 쨍하지 않을까
",초록색 좀 튀거나 쨍하지 않을까 걱정했는데 영롱하고 예쁜 초록이라 너무 마음에 들었어요 마음에 안들면 흰색으로 바꾸려고 했었는데 쏙 들어감!!!
3,100점,11번가,2025.01.13.,"
최고예요
",저렴해서 잘샀어요 근데 쓴지 이주만에 갑자기 패닉풀 한번 왔어요ㅠㅠ 그 이후로는 없는데 다음번엔 없길 바래요... 흑흑
4,100점,11번가,2024.09.30.,"
최고예요
",화이트 무광이라 색 더 이쁘고 2차예약했는데 예상보다 훨씬 일찍 와서 좋았어요
